Title,Epic,Sprint,Description,Acceptance Criteria,Dependencies,Labels,Priority
Set up repo, environments, CI, and deployment pipeline,Foundation,0,Set up the FrontDesk Pro engineering foundation, including repository structure, environment strategy, CI pipeline, staging deployment, and production deployment readiness.,Repo can be cloned and run locally; CI runs on pull requests; Staging deploy succeeds automatically; Production deploy path is defined but protected; Secrets are not hardcoded,None,epic:foundation,sprint:0,type:infra,priority:p0,p0
Build auth foundation and organization/workspace model,Foundation,0,Implement authentication and the base multi-tenant organization/workspace model for FrontDesk Pro.,New user can sign up and create an organization; Authenticated users land inside the correct workspace; Unauthenticated users cannot access app routes; Organization context is available throughout the app,Issue 1,epic:foundation,sprint:0,type:backend,type:frontend,priority:p0,p0
Create base design system and authenticated app shell,Foundation,0,Create the base UI system for FrontDesk Pro, including layout, navigation, theme tokens, typography, buttons, forms, cards, empty states, and mobile-friendly structure.,Authenticated app has a reusable layout; Components are consistent across pages; Mobile navigation works cleanly; Empty state pattern exists for future modules,Issue 2,epic:foundation,sprint:0,type:frontend,type:design,priority:p0,p0
Create core schema for customers, jobs, technicians, estimates, invoices, reminders, and notes,Foundation,1,Design and implement the initial database schema for the core operational entities in FrontDesk Pro.,Migrations run cleanly; Core entities are organization-scoped; Relationships support future module builds; Schema is documented enough for frontend integration,Issue 2,epic:foundation,sprint:1,type:backend,priority:p0,p0
Build organization setup flow and seeded demo data tools,Foundation,1,Create the first-run organization setup experience and a seeded demo-data path for testing and product demos.,New organization can complete setup; Seeded org loads with realistic sample data; Empty org and seeded org both work correctly,Issue 4,epic:foundation,sprint:1,type:fullstack,priority:p1,p1
Build dashboard shell with live data widgets,Foundation,1,Create the first usable dashboard with live operational widgets for the current organization.,Dashboard loads organization-specific data; Empty states are handled cleanly; Seeded data displays correctly; Dashboard is usable on desktop and mobile,Issue 5,epic:foundation,sprint:1,type:fullstack,priority:p0,p0
Build customer list view with search, filters, and empty states,CRM/Jobs,2,Ship the main customer list screen with search, filtering, and responsive layout.,User can search customers by name, phone, or email; List works on desktop and mobile; Empty state is clear and useful; Only organization-scoped customers are shown,Issue 4,epic:crm-jobs,sprint:2,type:frontend,type:backend,priority:p0,p0
Build add/edit customer forms and customer detail view,CRM/Jobs,2,Create full customer CRUD and a customer detail page.,User can create, edit, and view customers; Validation works correctly; Customer details persist and reload properly; Mobile form experience is usable,Issue 7,epic:crm-jobs,sprint:2,type:fullstack,priority:p0,p0
Link customers to jobs, invoices, and activity history,CRM/Jobs,2,Expand customer detail so it acts as the central relationship hub for service history.,Customer detail shows related jobs and invoices; Customer history updates as new records are created; Relationships are scoped and accurate,Issue 8,epic:crm-jobs,sprint:2,type:fullstack,priority:p1,p1
Build jobs list view with status filters and mobile-friendly layout,CRM/Jobs,3,Create the main jobs list screen with useful status filters and responsive UI.,Jobs can be filtered by status; Jobs list is readable on mobile; Status counts are accurate; Only current org jobs are shown,Issue 4,epic:crm-jobs,sprint:3,type:fullstack,priority:p0,p0
Build create/edit job form and customer-linked job workflow,CRM/Jobs,3,Create the job creation and edit flow, linked to customers.,User can create a job from a customer; Job saves correctly; Job can be edited later; Job remains linked to the selected customer,Issue 10,epic:crm-jobs,sprint:3,type:fullstack,priority:p0,p0
Build job detail page and status lifecycle,CRM/Jobs,3,Create the job detail page and the core job status workflow.,User can move job through valid status changes; Status updates reflect in dashboard and list views; Completed jobs remain linked to customer history; Mobile detail view is usable in the field,Issue 11,epic:crm-jobs,sprint:3,type:fullstack,priority:p0,p0
